Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617884890	795592069	408	256	2021-04-08	14:28:10	nan	nan	nan	101.586	23.6972	101.663	43.5356	0	0	23.9301	-16000	0	23.6423	 80
DATA	1617884896	44697999	408	256	2021-04-08	14:28:16	nan	nan	nan	101.58	24.0381	101.657	43.5371	0	0	24.3498	-16000	0	23.6415	253
DATA	1617884903	544399023	408	256	2021-04-08	14:28:23	nan	nan	nan	101.579	24.1706	101.658	43.5371	0	0	24.5115	-16000	0	23.6407	 62
DATA	1617884911	44100046	408	256	2021-04-08	14:28:31	nan	nan	nan	101.578	24.3019	101.655	43.5371	0	0	24.6719	-16000	0	23.6407	254
DATA	1617884918	543802022	408	256	2021-04-08	14:28:38	nan	nan	nan	101.575	24.4341	101.652	43.5371	0	0	24.8311	-16000	0	23.6391	 52
DATA	1617884930	543318033	593	256	2021-04-08	14:28:50	nan	nan	nan	101.572	24.5636	101.649	43.5373	0	0	24.9868	-16000	0	23.6391	 80
DATA	1617884938	793318033	626	256	2021-04-08	14:28:58	nan	nan	nan	101.571	24.6607	101.648	43.5371	0	0	25.1049	-16000	0	23.6391	 79
DATA	1617884941	42898893	626	256	2021-04-08	14:29:01	nan	nan	nan	101.568	24.8296	101.646	43.5376	0	0	25.3047	-16000	0	23.6386	 47
DATA	1617884948	542596101	626	256	2021-04-08	14:29:08	nan	nan	nan	101.568	24.9649	101.643	43.5375	0	0	25.4642	-16000	0	23.6383	 89
DATA	1617884956	42292118	626	256	2021-04-08	14:29:16	nan	nan	nan	101.566	25.0978	101.642	43.5378	0	0	25.6201	-16000	0	23.6383	 25
DATA	1617884963	541990995	626	256	2021-04-08	14:29:23	nan	nan	nan	101.564	25.2309	101.638	43.5378	0	0	25.7751	-16000	0	23.6376	 97
DATA	1617884964	793802022	593	256	2021-04-08	14:29:24	nan	nan	nan	101.574	24.5149	101.65	43.5371	0	0	24.9286	-16000	0	23.6399	 37
DATA	1617884971	41686058	626	256	2021-04-08	14:29:31	nan	nan	nan	101.563	25.3635	101.638	43.5378	0	0	25.9292	-16000	0	23.6376	 38
DATA	1617884978	541383981	626	256	2021-04-08	14:29:38	nan	nan	nan	101.558	25.4966	101.632	43.5378	0	0	26.0828	-16000	0	23.6368	108
